iter	Logloss
0	0.6586783764
1	0.6401432897
2	0.6301365884
3	0.6247461582
4	0.6211189264
5	0.6182253558
6	0.6153087644
7	0.6132550266
8	0.6114084264
9	0.6090528745
10	0.6077986166
11	0.6065621991
12	0.6052263901
13	0.6034753354
14	0.6024378794
15	0.6015526284
16	0.6003087716
17	0.5995934066
18	0.5989058403
19	0.5984691991
20	0.597608584
21	0.5972067021
22	0.5965586064
23	0.5962746843
24	0.5958783945
25	0.5954373608
26	0.5945951688
27	0.5940363749
28	0.5934590671
29	0.5929455145
30	0.5924967211
31	0.591973955
32	0.5916302349
33	0.5912955101
34	0.5909551478
35	0.5906068429
36	0.590227485
37	0.5897708381
38	0.5892578823
39	0.5887492861
40	0.5885213399
41	0.5880342044
42	0.5877226007
43	0.58719888
44	0.5868905724
45	0.5865106079
46	0.5859143124
47	0.5852333816
48	0.5849039356
49	0.5845518724
50	0.5842132245
51	0.5837596241
52	0.5835063197
53	0.5831153856
54	0.5828807603
55	0.5825649207
56	0.5823861262
57	0.5821297042
58	0.5819347702
59	0.5817345877
60	0.5814516427
61	0.5810860076
62	0.5807758262
63	0.580369048
64	0.5800697325
65	0.5798692814
66	0.5796516384
67	0.579452964
68	0.579206125
69	0.5788178335
70	0.5785144999
71	0.5783194737
72	0.5781180802
73	0.5779273388
74	0.5777370489
75	0.5775771839
76	0.5773757344
77	0.577174648
78	0.577029499
79	0.5766936336
80	0.5764634126
81	0.5763130065
82	0.5761036656
83	0.5759341895
84	0.5757512696
85	0.5755719908
86	0.5752855255
87	0.5751242129
88	0.5748379763
89	0.5745811879
90	0.5744657939
91	0.5743047423
92	0.5741167524
93	0.5738258153
94	0.5736823338
95	0.5734234549
96	0.5732146337
97	0.573105137
98	0.5729361084
99	0.5727747112
100	0.5725476915
101	0.5724062563
102	0.5722276298
103	0.5719771964
104	0.5716064466
105	0.5714079877
106	0.5712269262
107	0.5710192201
108	0.5708811877
109	0.5707334857
110	0.5706034229
111	0.5704145589
112	0.5701953278
113	0.5700336577
114	0.569908218
115	0.5696774834
116	0.569460626
117	0.5693557196
118	0.5691607068
119	0.5690143641
120	0.5688797798
121	0.5686314022
122	0.5683831503
123	0.568248936
124	0.5680739876
125	0.5679219264
126	0.5678215055
127	0.5677138706
128	0.5675050874
129	0.5673570204
130	0.5672309833
131	0.5670702515
132	0.5669433221
133	0.566769147
134	0.5666372807
135	0.5664820629
136	0.5663445222
137	0.5662742523
138	0.5661730663
139	0.5660422311
140	0.5658467014
141	0.5657609354
142	0.5655256724
143	0.5654062417
144	0.5652275183
145	0.5651358392
146	0.5649735012
147	0.5647832121
148	0.5646548799
149	0.5645582991
150	0.5644305634
151	0.5642575569
152	0.5641776344
153	0.5640023825
154	0.5638534247
155	0.5637055749
156	0.5635531979
157	0.5634549276
158	0.5633435497
159	0.5632628616
160	0.5631513501
161	0.5630136715
162	0.562741703
163	0.5625947348
164	0.562500775
165	0.5624091987
166	0.562332849
167	0.562236048
168	0.5621254369
169	0.5620216414
170	0.5619212037
171	0.561731571
172	0.5616303012
173	0.561530654
174	0.5613845839
175	0.5612273433
176	0.5611232218
177	0.5609422699
178	0.5608626317
179	0.5607778646
180	0.5606878562
181	0.5605384663
182	0.5604389899
183	0.5602902219
184	0.5601342246
185	0.5600525047
186	0.559916586
187	0.5598351047
188	0.5597488019
189	0.5595600708
190	0.5594571876
191	0.5593782637
192	0.5592934921
193	0.5591376867
194	0.5590153901
195	0.5588678818
196	0.5587333384
197	0.5586551931
198	0.5585432968
199	0.5584509724
200	0.5583149382
201	0.5582306547
202	0.5581274441
203	0.5580464713
204	0.5579894845
205	0.5579212231
206	0.5578009454
207	0.5577196428
208	0.557635376
209	0.5575677174
210	0.5573384127
211	0.5572544298
212	0.5572008183
213	0.5571174845
214	0.556991986
215	0.5568443056
216	0.5567453438
217	0.5566155158
218	0.5565475735
219	0.5564262467
220	0.5563357184
221	0.5562398564
222	0.5561733727
223	0.5560669079
224	0.5559483268
225	0.555804031
226	0.555720157
227	0.5556751045
228	0.5556051176
229	0.5554839564
230	0.5553564693
231	0.5552912713
232	0.555199835
233	0.5551314105
234	0.5550731593
235	0.5549945426
236	0.5549521347
237	0.5548649327
238	0.5548134126
239	0.5547678591
240	0.5546722309
241	0.5545535812
242	0.5544781276
243	0.5543942131
244	0.5543213379
245	0.5542136981
246	0.554137089
247	0.5540849051
248	0.5540001497
249	0.553925797
250	0.5538514881
251	0.553782962
252	0.553735622
253	0.5536146012
254	0.5535331884
255	0.5534610316
256	0.5533771853
257	0.5533437527
258	0.5532633108
259	0.5532000959
