iter	Passed	Remaining
0	4494	4490198
1	8703	4342936
2	13453	4471182
3	19408	4832634
4	23624	4701333
5	27923	4626069
6	31573	4478986
7	34945	4333227
8	38300	4217259
9	41927	4150843
10	45358	4078112
11	48652	4005727
12	52533	3988534
13	56280	3963727
14	59987	3939164
15	63588	3910699
16	67083	3879005
17	70697	3856914
18	74319	3837217
19	77619	3803369
20	81124	3781951
21	84753	3767660
22	88227	3747766
23	91250	3710858
24	94232	3675053
25	97372	3647717
26	100733	3630127
27	104626	3632021
28	108327	3627114
29	112161	3626554
30	115410	3607514
31	118898	3596679
32	122039	3576129
33	125210	3557461
34	128521	3543517
35	131849	3530627
36	135180	3518352
37	138351	3502489
38	141472	3486018
39	144756	3474152
40	148102	3464161
41	151139	3447421
42	154395	3436201
43	157537	3422849
44	160551	3407253
45	163744	3395916
46	167023	3386678
47	170686	3385279
48	173931	3375692
49	177508	3372664
50	181171	3371208
51	184644	3366217
52	188730	3372215
53	193024	3381495
54	196504	3376303
55	199697	3366321
56	204108	3376740
57	208555	3387224
58	212429	3388067
59	216147	3386309
60	219607	3380516
61	223416	3380081
62	227359	3381518
63	231860	3390959
64	235603	3389067
65	238954	3381566
66	242374	3375154
67	246253	3375126
68	249618	3368034
69	253179	3363668
70	256591	3357378
71	259886	3349645
72	263509	3346203
73	267603	3348661
74	271365	3346844
75	274701	3339795
76	277989	3332265
77	281023	3321845
78	284043	3311442
79	287373	3304794
80	291013	3301742
81	294073	3292184
82	296965	3280933
83	300412	3275930
84	303591	3268074
85	307173	3264609
86	310313	3256511
87	313686	3250932
88	317450	3249409
89	320356	3239162
90	323592	3232371
91	326470	3222118
92	329716	3215618
93	333205	3211530
94	336352	3204202
95	339261	3194713
96	342273	3186322
97	345231	3177541
98	348553	3172193
99	351934	3167406
100	354800	3158075
101	358176	3153356
102	361544	3148600
103	364833	3143182
104	368350	3139746
105	371253	3131138
106	374254	3123451
107	377564	3118401
108	380924	3113793
109	383887	3106000
110	387708	3105160
111	391570	3104593
112	395029	3100807
113	398305	3095602
114	401938	3093176
115	405579	3090797
116	409736	3092285
117	413397	3089970
118	416454	3083161
119	419491	3076272
120	423105	3073637
121	427151	3074089
122	431433	3076158
123	434644	3070550
124	438543	3069802
125	442122	3066788
126	445700	3063753
127	449386	3061444
128	453257	3060366
129	457270	3060192
130	460985	3057985
131	464546	3054747
132	467967	3050583
133	471428	3046695
134	474361	3039425
135	477840	3035694
136	481392	3032421
137	484634	3027208
138	488115	3023503
139	491601	3019835
140	494657	3013554
141	497379	3005295
142	500866	3001697
143	504539	2999204
144	507700	2993682
145	510697	2987231
146	513781	2981331
147	517005	2976272
148	520386	2972138
149	523773	2968050
150	528558	2971828
151	531722	2966451
152	535218	2962940
153	538973	2960854
154	542300	2956410
155	545624	2951969
156	549268	2949258
157	552630	2945029
158	555218	2936723
159	558689	2933117
160	562237	2929919
161	565671	2926126
162	569544	2924592
163	573122	2921525
164	576585	2917873
165	579985	2913904
166	583406	2910046
167	586828	2906196
168	589743	2899862
169	593276	2896587
170	596645	2892507
